iter	RMSE
995	0.1720558817
996	0.1720422227
997	0.172025808
998	0.1720205989
999	0.172014286
1000	0.1719981938
1001	0.1719761175
1002	0.1719584195
1003	0.1719512993
1004	0.171945874
1005	0.1719290573
1006	0.1719180692
1007	0.1718895083
1008	0.1718750877
1009	0.1718642236
1010	0.1718443276
1011	0.171829935
1012	0.1718031779
1013	0.1717912585
1014	0.1717714683
1015	0.171743996
1016	0.1717300496
1017	0.1717194654
1018	0.1717052837
1019	0.1716780526
1020	0.1716741037
1021	0.1716458575
1022	0.1716305899
1023	0.1716188953
1024	0.1715796983
1025	0.1715677353
1026	0.1715604155
1027	0.1715403747
1028	0.1715279972
1029	0.1715030921
1030	0.1714870518
1031	0.171460855
1032	0.1714538319
1033	0.1714418024
1034	0.1714251921
1035	0.1714137309
1036	0.1713965625
1037	0.1713831419
1038	0.1713625298
1039	0.1713349241
1040	0.171307304
1041	0.1713019621
1042	0.171288379
1043	0.1712722695
1044	0.1712571224
1045	0.171247593
1046	0.1712246064
1047	0.1711953337
1048	0.1711799889
1049	0.1711713245
1050	0.1711524415
1051	0.1711374733
1052	0.1711267608
1053	0.1711026286
1054	0.1710816947
1055	0.1710589213
1056	0.1710466511
1057	0.1710300728
1058	0.1710172822
1059	0.1709952569
1060	0.1709841311
1061	0.1709781987
1062	0.1709699411
1063	0.1709499704
1064	0.170934785
1065	0.170917708
1066	0.1709101023
1067	0.1709055719
1068	0.1708888441
1069	0.1708722018
1070	0.1708679675
1071	0.1708427495
1072	0.1708348101
1073	0.1708256752
1074	0.1707985833
1075	0.1707824051
1076	0.1707751836
1077	0.1707565073
1078	0.17073876
1079	0.170720678
1080	0.1706972052
1081	0.1706849756
1082	0.1706664035
1083	0.170644164
1084	0.1706392909
1085	0.1706129476
1086	0.170600593
1087	0.1705974559
1088	0.1705864137
1089	0.1705668612
1090	0.1705577972
1091	0.1705471847
1092	0.1705348352
1093	0.1705203341
1094	0.1705121783
1095	0.1704997949
1096	0.1704743456
1097	0.1704654815
1098	0.1704491688
1099	0.1704359808
1100	0.1704141885
1101	0.1704013436
1102	0.1703904675
1103	0.1703776281
1104	0.1703702174
1105	0.1703561993
1106	0.1703381819
1107	0.1703343159
1108	0.1703256544
1109	0.1703170108
1110	0.1702921458
1111	0.1702819081
1112	0.170247268
1113	0.170233625
1114	0.1701955882
1115	0.1701851639
1116	0.1701648627
1117	0.1701497867
1118	0.1701375335
1119	0.1701252856
1120	0.1701062599
1121	0.1700990616
1122	0.1700882244
1123	0.1700804102
1124	0.1700654129
1125	0.1700384786
1126	0.1700325472
1127	0.1700296349
1128	0.1700148238
1129	0.1700059463
1130	0.1699889283
1131	0.1699683074
1132	0.1699448418
1133	0.1699265361
1134	0.1699075018
1135	0.1698997324
1136	0.1698858329
1137	0.1698744279
1138	0.1698635052
1139	0.1698477961
1140	0.1698444105
1141	0.16981777
1142	0.1697997437
1143	0.1697833234
1144	0.169773334
1145	0.1697659879
1146	0.1697629537
1147	0.1697462586
1148	0.1697406331
1149	0.1697203106
1150	0.1697053295
1151	0.1696841917
1152	0.1696762901
1153	0.1696569893
1154	0.169643388
1155	0.1696145248
1156	0.1695944678
1157	0.1695568579
1158	0.1695366245
1159	0.1695308657
1160	0.1695050342
1161	0.1694765407
1162	0.1694248371
1163	0.1694108012
1164	0.1693932374
1165	0.1693783846
1166	0.169370414
1167	0.1693399254
1168	0.1693290318
1169	0.1693162629
1170	0.1693122677
1171	0.1692908319
1172	0.1692792544
1173	0.1692707879
1174	0.1692663294
1175	0.1692615252
1176	0.169253745
1177	0.1692368894
1178	0.1692192396
1179	0.1692124304
1180	0.1691943557
1181	0.169172645
1182	0.169169943
1183	0.1691527526
1184	0.1691426624
1185	0.1691288668
1186	0.1691036229
1187	0.1690790909
1188	0.1690638399
1189	0.1690530539
1190	0.1690393369
1191	0.1690210632
1192	0.1690083445
1193	0.1689995336
1194	0.1689900449
1195	0.1689845937
1196	0.168968928
1197	0.1689610954
1198	0.1689462747
1199	0.168922813
1200	0.1689088418
1201	0.168902285
1202	0.1688791792
1203	0.1688682899
1204	0.1688597657
1205	0.1688519393
1206	0.1688305141
1207	0.1688189195
1208	0.1688030503
1209	0.1687917755
1210	0.1687804381
1211	0.1687611093
1212	0.1687517611
1213	0.1687410719
1214	0.1687271389
1215	0.168715057
1216	0.1686929492
1217	0.1686853899
1218	0.1686605995
1219	0.1686484299
1220	0.1686402025
1221	0.1686321978
1222	0.1686130049
1223	0.1685998371
1224	0.1685875665
1225	0.1685631342
1226	0.1685287812
1227	0.1685104893
1228	0.1684850183
1229	0.1684701703
1230	0.1684588662
1231	0.1684463599
1232	0.1684246492
1233	0.1684134461
1234	0.1683906439
1235	0.1683645599
1236	0.1683539898
1237	0.1683418845
1238	0.1683360372
1239	0.1683261915
1240	0.1682949972
1241	0.1682912484
1242	0.1682598682
1243	0.1682475205
1244	0.1682341586
1245	0.1682103917
1246	0.1681846941
1247	0.1681797509
1248	0.1681358965
1249	0.1681164513
1250	0.1681088148
1251	0.1680862601
1252	0.1680720198
1253	0.168057754
1254	0.168035746
1255	0.1680333292
1256	0.1680188949
1257	0.1679994792
1258	0.1679715721
1259	0.1679577781
1260	0.1679389546
1261	0.1679264164
1262	0.1679106797
1263	0.1678785739
1264	0.1678663136
1265	0.1678605286
1266	0.1678346767
1267	0.1678086616
1268	0.1678052073
1269	0.1677784964
1270	0.1677689009
1271	0.1677485117
1272	0.1677308749
1273	0.1677143946
1274	0.1677037077
1275	0.1676665234
1276	0.1676349654
1277	0.1676135951
1278	0.1676092073
1279	0.1675852778
1280	0.1675783077
1281	0.1675627131
1282	0.167551113
1283	0.167524045
1284	0.1675086546
1285	0.1674939205
1286	0.1674640022
1287	0.1674544782
1288	0.1674435815
1289	0.167425139
1290	0.1674082418
